TPR@5,FPR@95,AUROC,AUPR,ACC
30.0,90.0,75.0,77.5121,80.0
30.0,90.0,75.0,77.5121,80.0
40.0,50.0,80.0,81.3561,80.0
40.0,30.0,89.0,88.8471,80.0
40.0,40.0,84.5,85.1016,80.0
