TPR@5,FPR@95,AUROC,AUPR,ACC
10.0,80.0,63.0,64.9330808080808,0.0
10.0,80.0,63.0,64.9330808080808,0.0
20.0,40.0,70.0,69.65179265179265,0.0
20.0,40.0,79.0,78.42957042957042,0.0
20.0,40.0,74.5,74.04068154068153,0.0
