TPR@5,FPR@95,AUROC,AUPR,ACC
40.0,90.0,71.0,77.7467,90.0
40.0,90.0,71.0,77.7467,90.0
60.0,30.0,88.0,89.465,90.0
50.0,30.0,87.0,88.0365,90.0
55.0,30.0,87.5,88.7507,90.0
