TNR@10,TNR@20,AUROC,AUPR,FPR,ACC,OSCR,OpenAUC,OSA,OOSA
70.0,70.0,83.0,80.3857,30.0,0.9,77.5,79.0,85.0,50.0
70.0,70.0,77.0,70.9412,30.0,0.9,74.5,76.0,85.0,50.0
70.0,80.0,86.0,83.3748,30.0,0.9,78.5,80.0,85.0,50.0
