TPR@5,FPR@95,AUROC,AUPR,ACC
20.0,20.0,91.0,87.377,100.0
20.0,20.0,91.0,87.377,100.0
50.0,60.0,89.0,90.6421,100.0
60.0,10.0,96.0,95.7298,100.0
55.0,35.0,92.5,93.186,100.0
