TPR@5,FPR@95,AUROC,AUPR,ACC
10.0,40.0,82.0,77.6934,100.0
10.0,40.0,82.0,77.6934,100.0
10.0,30.0,79.0,74.1079,100.0
20.0,20.0,86.0,82.4358,100.0
15.0,25.0,82.5,78.2718,100.0
