TPR@5,FPR@95,AUROC,AUPR,ACC
0.0,100.0,61.0,62.4762,100.0
0.0,100.0,61.0,62.4762,100.0
10.0,100.0,45.0,56.2332,100.0
0.0,100.0,43.0,46.897,100.0
5.0,100.0,44.0,51.5651,100.0
