TPR@5,FPR@95,AUROC,AUPR,ACC
0.0,90.0,69.0,67.6739,100.0
0.0,90.0,69.0,67.6739,100.0
20.0,90.0,62.0,69.1916,100.0
30.0,70.0,71.0,75.1374,100.0
25.0,80.0,66.5,72.1645,100.0
