TPR@5,FPR@95,AUROC,AUPR,ACC
0.0,100.0,24.0,38.7232,100.0
0.0,100.0,24.0,38.7232,100.0
0.0,100.0,16.0,36.6746,100.0
0.0,100.0,11.0,35.1468,100.0
0.0,100.0,13.5,35.9107,100.0
