TPR@5,FPR@95,AUROC,AUPR,ACC
20.0,60.0,78.0,76.11,100.0
20.0,60.0,78.0,76.11,100.0
10.0,30.0,78.0,71.7746,100.0
10.0,30.0,81.0,73.9614,100.0
10.0,30.0,79.5,72.868,100.0
