TPR@5,FPR@95,AUROC,AUPR,ACC
40.0,50.0,80.0,81.3561,100.0
40.0,50.0,80.0,81.3561,100.0
20.0,40.0,74.0,71.9696,100.0
20.0,30.0,76.0,73.096,100.0
20.0,35.0,75.0,72.5328,100.0
