TPR@5,FPR@95,AUROC,AUPR,ACC
20.0,30.0,81.0,78.7746,90.0
20.0,30.0,81.0,78.7746,90.0
10.0,30.0,87.0,81.9026,90.0
30.0,30.0,87.0,85.8748,90.0
20.0,30.0,87.0,83.8887,90.0
