TPR@5,FPR@95,AUROC,AUPR,ACC
30.0,30.0,79.0,78.096,100.0
30.0,30.0,79.0,78.096,100.0
20.0,30.0,79.0,76.5484,100.0
10.0,30.0,77.0,70.9412,100.0
15.0,30.0,78.0,73.7448,100.0
