TPR@5,FPR@95,AUROC,AUPR,ACC
20.0,90.0,63.0,67.0505,90.0
20.0,90.0,63.0,67.0505,90.0
30.0,90.0,78.0,81.3637,90.0
10.0,60.0,65.0,64.5025,90.0
20.0,75.0,71.5,72.9331,90.0
