TNR@10,TNR@20,AUROC,AUPR,FPR,ACC,OSCR,OpenAUC,OSA,OOSA
70.1536,78.8251,86.4288,96.6181,39.5915,0.8499,78.6798,78.68,79.5319,79.304
72.6532,80.653,87.6992,96.4492,35.9632,0.8499,79.5216,79.5218,80.5886,80.4579
75.6263,82.4258,88.7572,91.2311,30.9861,0.8499,80.3935,80.3938,82.0085,81.9572
