TPR@5,FPR@95,AUROC,AUPR,ACC
20.0,30.0,81.0,77.5523,90.0
20.0,30.0,81.0,77.5523,90.0
80.0,30.0,95.0,95.8741,90.0
50.0,20.0,90.0,89.7929,90.0
65.0,25.0,92.5,92.8335,90.0
